ambient_temperature,dissolved_oxygen,do_volt,ec_volt,electrical_conductivity,humidity,ph_level,ph_voltge,sensor,temperature,time
32.1270751953125,5.427557022809124,1217,1826,9.938983567474596,72.18017578125,10.718728870858689,840,raspberrypi,31.5,2023-04-29 23:10:09.202217498
32.13714599609375,5.271464585834334,1182,1520,8.273414579715984,72.18017578125,8.803020058598152,1180,raspberrypi,31.5,2023-04-29 23:10:20.268434990
32.13714599609375,5.213487394957983,1169,1659,9.029996570887379,72.18017578125,10.200360604011719,932,raspberrypi,31.5,2023-04-29 23:10:31.300692979
32.13714599609375,4.705072028811524,1055,1873,10.194806255136864,72.08251953125,10.55533017804823,869,raspberrypi,31.5,2023-04-29 23:10:42.287994584
32.1673583984375,4.526680672268908,1015,1856,10.102274644705833,72.08251953125,10.290511606941628,916,raspberrypi,31.5,2023-04-29 23:10:53.368483619
32.1875,3.9980333730631705,919,1998,10.786123797492955,71.88720703125,8.803020058598152,1180,raspberrypi,32.0,2023-04-29 23:11:04.380521020
32.2076416015625,5.368414779499404,1234,1783,9.625454820285256,71.88720703125,11.27653820148749,741,raspberrypi,32.0,2023-04-29 23:11:16.174679148
32.21771240234375,4.4983313468414785,1034,2435,13.145250974422096,71.69189453125,8.00856434527834,1321,raspberrypi,32.0,2023-04-29 23:11:27.186564410
32.2076416015625,5.168295589988081,1188,2063,11.137023720834819,71.78955078125,6.41965291863872,1603,raspberrypi,32.0,2023-04-29 23:11:38.186462387
32.23785400390625,7.161775147928994,1658,2006,10.741345613236595,71.78955078125,8.132521974306965,1299,raspberrypi,32.5,2023-04-29 23:11:49.191765477
32.23785400390625,4.811952662721894,1114,2384,12.765387807555355,71.78955078125,7.428217263917061,1424,raspberrypi,32.5,2023-04-29 23:12:00.185050787
32.26806640625,4.58301775147929,1061,2328,12.465529704693315,71.69189453125,7.456389452332657,1419,raspberrypi,32.5,2023-04-29 23:12:11.213835331
32.23785400390625,5.023609467455621,1163,2110,11.298224947123236,71.69189453125,5.968897903989182,1683,raspberrypi,32.5,2023-04-29 23:12:22.230714185
32.2076416015625,4.8810650887573965,1130,1634,8.74943107279591,71.69189453125,8.96078431372549,1152,raspberrypi,32.5,2023-04-29 23:12:33.254647924
32.21771240234375,4.729012925969448,1121,2360,12.535055664145492,71.78955078125,9.028397565922921,1140,raspberrypi,33.0,2023-04-29 23:12:44.276669642
32.21771240234375,3.7081198589894244,879,1950,10.357355315713438,71.69189453125,9.03403200360604,1139,raspberrypi,33.0,2023-04-29 23:12:55.264873029
32.2076416015625,4.885099882491187,1158,2545,13.517676553072151,71.59423828125,7.202839756592292,1464,raspberrypi,33.0,2023-04-29 23:13:06.267174712
32.21771240234375,6.066298472385429,1438,1958,10.399847029829184,71.59423828125,8.859364435429343,1170,raspberrypi,33.0,2023-04-29 23:13:17.281956828
32.23785400390625,4.4738856476079345,1068,1985,10.458983397351796,71.69189453125,10.915934189767862,805,raspberrypi,33.5,2023-04-29 23:13:28.346952822
32.23785400390625,4.633068844807468,1106,2183,11.502247232452882,71.59423828125,5.828036961911201,1708,raspberrypi,33.5,2023-04-29 23:13:39.356515467
32.26806640625,5.269801633605601,1258,2517,13.262096328027443,71.59423828125,7.084516565246789,1485,raspberrypi,33.5,2023-04-29 23:13:50.362557178
32.26806640625,2.781516919486581,664,2208,11.633972464157566,71.59423828125,8.96078431372549,1152,raspberrypi,33.5,2023-04-29 23:14:01.353121544
32.26806640625,4.704282380396733,1123,2335,12.303136641217353,71.59423828125,7.405679513184584,1428,raspberrypi,33.5,2023-04-29 23:14:12.351436220
32.2882080078125,5.80837775202781,1418,1932,10.099003690422672,71.59423828125,11.310344827586206,735,raspberrypi,34.0,2023-04-29 23:14:23.360748142
32.308349609375,4.260023174971031,1040,2076,10.851724462379641,71.59423828125,9.710164525580348,1019,raspberrypi,34.0,2023-04-29 23:14:34.364960054
32.2882080078125,5.894397450753186,1439,2115,11.05558633811799,71.30126953125,9.98625197205319,970,raspberrypi,34.0,2023-04-29 23:14:45.374581624
32.308349609375,4.608198146002317,1125,2417,12.63420906819441,71.39892578125,7.292990759522199,1448,raspberrypi,34.0,2023-04-29 23:14:56.368065576
32.308349609375,2.822265353418308,689,2299,12.017396213396337,71.49658203125,8.622718052738337,1212,raspberrypi,34.0,2023-04-29 23:15:07.372307987
32.31842041015625,4.382908458864426,1070,2126,11.113085841531367,71.39892578125,9.631282398016678,1033,raspberrypi,34.0,2023-04-29 23:15:18.370058118
32.308349609375,4.816386651323361,1184,1558,8.079948968743356,71.30126953125,9.349560513860716,1083,raspberrypi,34.5,2023-04-29 23:15:29.393930139
